datatime,package,pid,pss,java_heap,native_heap,system
2024-09-21 18-47-14,com.camelgames.aoz.debuglz4,10797,1430.34,13.62,288.75,13.98
2024-09-21 18-47-14,com.camelgames.aoz.debuglz4,10797,1430.35,13.62,288.75,13.98
2024-09-21 18-47-14,com.camelgames.aoz.debuglz4,10797,1430.37,13.62,288.76,13.98
2024-09-21 18-47-15,com.camelgames.aoz.debuglz4,10797,1430.36,13.62,288.76,13.98
2024-09-21 18-47-15,com.camelgames.aoz.debuglz4,10797,1430.36,13.62,288.76,13.98
2024-09-21 18-47-16,com.camelgames.aoz.debuglz4,10797,1430.36,13.62,288.76,13.98
2024-09-21 18-47-16,com.camelgames.aoz.debuglz4,10797,1430.36,13.62,288.76,13.98
2024-09-21 18-47-17,com.camelgames.aoz.debuglz4,10797,1430.35,13.62,288.76,13.98
2024-09-21 18-47-17,com.camelgames.aoz.debuglz4,10797,1430.36,13.62,288.76,13.98
2024-09-21 18-47-18,com.camelgames.aoz.debuglz4,10797,1430.36,13.62,288.76,13.98
2024-09-21 18-47-18,com.camelgames.aoz.debuglz4,10797,1430.35,13.62,288.76,13.98
2024-09-21 18-47-18,com.camelgames.aoz.debuglz4,10797,1430.36,13.62,288.76,13.98
2024-09-21 18-47-19,com.camelgames.aoz.debuglz4,10797,1430.35,13.62,288.76,13.98
2024-09-21 18-47-19,com.camelgames.aoz.debuglz4,10797,1430.35,13.62,288.76,13.98
2024-09-21 18-47-20,com.camelgames.aoz.debuglz4,10797,1430.35,13.62,288.76,13.98
2024-09-21 18-47-20,com.camelgames.aoz.debuglz4,10797,1430.35,13.62,288.76,13.98
2024-09-21 18-47-21,com.camelgames.aoz.debuglz4,10797,1430.36,13.62,288.76,13.98
2024-09-21 18-47-21,com.camelgames.aoz.debuglz4,10797,1430.62,13.62,289.04,13.98
2024-09-21 18-47-21,com.camelgames.aoz.debuglz4,10797,1431.23,13.62,289.64,13.98
2024-09-21 18-47-22,com.camelgames.aoz.debuglz4,10797,1431.79,13.62,290.2,13.98
2024-09-21 18-47-22,com.camelgames.aoz.debuglz4,10797,1432.44,13.62,290.84,13.98
2024-09-21 18-47-23,com.camelgames.aoz.debuglz4,10797,1433.04,13.62,291.45,13.98
2024-09-21 18-47-23,com.camelgames.aoz.debuglz4,10797,1433.64,13.62,292.05,13.98
2024-09-21 18-47-24,com.camelgames.aoz.debuglz4,10797,1434.25,13.62,292.65,13.98
2024-09-21 18-47-24,com.camelgames.aoz.debuglz4,10797,1434.81,13.62,293.22,13.98
2024-09-21 18-47-24,com.camelgames.aoz.debuglz4,10797,1435.46,13.62,293.86,13.98
2024-09-21 18-47-25,com.camelgames.aoz.debuglz4,10797,1436.05,13.62,294.46,13.98
2024-09-21 18-47-25,com.camelgames.aoz.debuglz4,10797,1436.74,13.62,295.15,13.98
2024-09-21 18-47-26,com.camelgames.aoz.debuglz4,10797,1437.33,13.62,295.74,13.98
2024-09-21 18-47-26,com.camelgames.aoz.debuglz4,10797,1438.03,13.62,296.37,13.98
2024-09-21 18-47-27,com.camelgames.aoz.debuglz4,10797,1438.69,13.62,297.09,13.98
2024-09-21 18-47-27,com.camelgames.aoz.debuglz4,10797,1439.36,13.62,297.77,13.98
2024-09-21 18-47-28,com.camelgames.aoz.debuglz4,10797,1440.17,13.62,298.58,13.99
2024-09-21 18-47-28,com.camelgames.aoz.debuglz4,10797,1440.81,13.62,299.21,13.98
2024-09-21 18-47-29,com.camelgames.aoz.debuglz4,10797,1442.15,13.62,300.56,13.99
2024-09-21 18-47-29,com.camelgames.aoz.debuglz4,10797,1440.76,13.62,299.16,13.98
2024-09-21 18-47-30,com.camelgames.aoz.debuglz4,10797,1435.59,13.62,293.99,13.98
2024-09-21 18-47-30,com.camelgames.aoz.debuglz4,10797,1430.56,13.62,288.97,13.98
2024-09-21 18-47-30,com.camelgames.aoz.debuglz4,10797,1429.88,13.62,288.27,13.98
2024-09-21 18-47-31,com.camelgames.aoz.debuglz4,10797,1429.88,13.62,288.28,13.98
2024-09-21 18-47-31,com.camelgames.aoz.debuglz4,10797,1429.88,13.62,288.28,13.98
2024-09-21 18-47-32,com.camelgames.aoz.debuglz4,10797,1429.87,13.62,288.28,13.98
2024-09-21 18-47-32,com.camelgames.aoz.debuglz4,10797,1429.87,13.62,288.28,13.98
2024-09-21 18-47-33,com.camelgames.aoz.debuglz4,10797,1429.87,13.62,288.28,13.98
2024-09-21 18-47-33,com.camelgames.aoz.debuglz4,10797,1429.87,13.62,288.28,13.98
2024-09-21 18-47-34,com.camelgames.aoz.debuglz4,10797,1429.87,13.62,288.28,13.98
2024-09-21 18-47-34,com.camelgames.aoz.debuglz4,10797,1429.87,13.62,288.28,13.98
2024-09-21 18-47-35,com.camelgames.aoz.debuglz4,10797,1429.87,13.62,288.28,13.98
2024-09-21 18-47-35,com.camelgames.aoz.debuglz4,10797,1429.88,13.62,288.29,13.98
2024-09-21 18-47-35,com.camelgames.aoz.debuglz4,10797,1429.88,13.62,288.29,13.98
2024-09-21 18-47-36,com.camelgames.aoz.debuglz4,10797,1429.88,13.62,288.29,13.98
2024-09-21 18-47-36,com.camelgames.aoz.debuglz4,10797,1429.88,13.62,288.29,13.98
2024-09-21 18-47-37,com.camelgames.aoz.debuglz4,10797,1429.88,13.62,288.29,13.98
2024-09-21 18-47-37,com.camelgames.aoz.debuglz4,10797,1429.88,13.62,288.29,13.98
2024-09-21 18-47-38,com.camelgames.aoz.debuglz4,10797,1430.48,13.62,288.89,13.98
2024-09-21 18-47-38,com.camelgames.aoz.debuglz4,10797,1431.04,13.62,289.45,13.98
