09-21 16:48:40.462   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER2 Read sdm-therm 48831mC, Err -2831mC, SampleCnt 1
09-21 16:48:40.463   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER Read sdm-therm 48831mC, Err -4831mC, SampleCnt 1
09-21 16:48:42.465   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD2 Read sdm-therm 48766mC, Err -1766mC, SampleCnt 1
09-21 16:48:42.466   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD Read sdm-therm 48766mC, Err -3766mC, SampleCnt 1
09-21 16:48:42.468   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER3 Read sdm-therm 48766mC, Err -766mC, SampleCnt 1
09-21 16:48:42.470   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER2 Read sdm-therm 48766mC, Err -2766mC, SampleCnt 1
09-21 16:48:42.471   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER Read sdm-therm 48766mC, Err -4766mC, SampleCnt 1
09-21 16:48:44.473   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD2 Read sdm-therm 48831mC, Err -1831mC, SampleCnt 1
09-21 16:48:44.475   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD Read sdm-therm 48831mC, Err -3831mC, SampleCnt 1
09-21 16:48:44.476   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER3 Read sdm-therm 48831mC, Err -831mC, SampleCnt 1
09-21 16:48:44.477   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER2 Read sdm-therm 48766mC, Err -2766mC, SampleCnt 1
09-21 16:48:44.480   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER Read sdm-therm 48831mC, Err -4831mC, SampleCnt 1
09-21 16:48:46.483   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD2 Read sdm-therm 48766mC, Err -1766mC, SampleCnt 1
09-21 16:48:46.484   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD Read sdm-therm 48831mC, Err -3831mC, SampleCnt 1
09-21 16:48:46.486   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER3 Read sdm-therm 48831mC, Err -831mC, SampleCnt 1
09-21 16:48:46.488   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER2 Read sdm-therm 48831mC, Err -2831mC, SampleCnt 1
