2024-09-21 18-26-23 top info:
Tasks: 623 total,   3 running, 435 sleeping,   0 stopped,   1 zombie
Mem:   5792924k total,  5508960k used,   283964k free,     8264k buffers
Swap:  2621436k total,   390108k used,  2231328k free,  1416044k cached
800%cpu 131%user   0%nice  48%sys 607%idle   0%iow  14%irq   0%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS                       
  818 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/457-swr_wak]
  810 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/226-arm-smm]
  795 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/445-swr_mas]
  794 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/444-swr_mas]
  782 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [qdss_mdm]
  780 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [qdss]
  779 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [at_usb1]
  778 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [at_usb0]
  773 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [f_mtp]
  768 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/270-arm-smm]
  767 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [adsp]
  766 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [adsp]
  762 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [modem]
  742 system       20   0  23M 2.5M 2.5M S  0.0   0.0   0:00.02 sensors.qti
  730 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/269-arm-smm]
  721 system       20   0  16M 3.1M 3.1M S  0.0   0.0   0:00.02 thermalserviced
  718 root         -2   0  10M 2.4M 2.0M S  0.0   0.0   2:12.50 lmkd
  715 system       20   0  15M 2.7M 2.7M S  0.0   0.0   0:11.76 adsprpcd sensorspd
  714 system       20   0  26M 3.0M 3.0M S  0.0   0.0   0:05.14 pm-service
  713 system       20   0  18M 2.0M 2.0M S  0.0   0.0   0:04.83 pd-mapper
  709 vendor_rfs   20   0  13M 3.1M 2.9M S  0.0   0.0   0:08.79 tftp_server
  708 nobody       20   0  19M 2.1M 2.0M S  0.0   0.0   0:31.94 rmt_storage
  706 vendor_qrtr  20   0  10M 1.8M 1.8M S  0.0   0.0   0:08.81 qrtr-ns -f
  704 system       20   0 7.7M 868K 868K S  0.0   0.0   0:00.02 vsimd
  703 system       20   0  20M 3.4M 3.2M S  0.0   0.0   0:00.05 vendor.xiaomi.hardware.touchfeature@1.0-service
  702 system       20   0  16M 3.1M 3.1M S  0.0   0.0   0:00.01 tidad@1.1
  701 root         20   0  24M 4.1M 3.5M S  0.0   0.0   0:11.44 mtd@1.2
  700 system       20   0  18M 3.6M 3.4M S  0.0   0.0   0:00.27 mlipayd@1.1
  699 system       20   0  14M 3.1M 3.1M S  0.0   0.0   0:00.02 vendor.xiaomi.hardware.misys@2.0-service
  698 system       20   0  18M 3.3M 3.3M S  0.0   0.0   0:00.01 vendor.xiaomi.hardware.misys@1.0-service
  697 system       20   0  18M 3.3M 3.3M S  0.0   0.0   0:00.10 fidoca
  696 system       20   0  13M 3.4M 3.3M S  0.0   0.0   0:00.01 vendor.qti.hardware.tui_comm@1.0-service-qti
  695 system       20   0  14M 3.2M 3.2M S  0.0   0.0   0:00.05 vendor.qti.hardware.soter@1.0-service
  694 system       20   0  21M 3.6M 3.6M S  0.0   0.0   0:00.02 vendor.qti.hardware.sensorscalibrate@1.0-service
  693 system       20   0  18M 1.6M 1.6M S  0.0   0.0   0:00.03 vendor.qti.hardware.scve.panorama@1.0-service
  692 system       20   0  17M 1.5M 1.5M S  0.0   0.0   0:00.01 vendor.qti.hardware.scve.objecttracker@1.0-service
  691 system       20   0  15M 3.2M 3.2M S  0.0   0.0   0:00.01 vendor.qti.hardware.qteeconnector@1.0-service
